Set,Slot,Tier,Category,Title,Alternates,Reject (X)
308,1,Easy,Movie,The Hunger Games: Catching Fire,Catching Fire,X
308,2,Medium,Book,The Picture of Dorian Gray,,
308,3,Hard,Book,Dead Souls,,
308,4,Hardest,Book,Wizard of the Crow,,X
309,1,Easy,Movie,The Hunger Games: Mockingjay – Part 1,Mockingjay,X
309,2,Medium,Book,The Importance of Being Earnest,,
309,3,Hard,Book,Fathers and Sons,,X
309,4,Hardest,Book,The Kingdom of This World,,X
310,1,Easy,Movie,The Lost World: Jurassic Park,,X
310,2,Medium,Book,A Study in Scarlet,,
310,3,Hard,Book,Madame Bovary,,X
310,4,Hardest,Book,Explosion in a Cathedral,,X
311,1,Easy,Movie,Jurassic World: Fallen Kingdom,,X
311,2,Medium,Book,The Hound of the Baskervilles,,
311,3,Hard,Book,Les Misérables,Les Miserables,
311,4,Hardest,Book,Kokoro,,X
312,1,Easy,Movie,Jurassic World Dominion,,X
312,2,Medium,Book,Anne Frank: The Diary of a Young Girl,The Diary of a Young Girl,X
312,3,Hard,Book,The Hunchback of Notre-Dame,The Hunchback of Notre Dame,
312,4,Hardest,Book,Norwegian Wood,,
313,1,Easy,Movie,Teenage Mutant Ninja Turtles,,
313,2,Medium,Book,The Wind in the Willows,,
313,3,Hard,Book,The Count of Monte Cristo,,
313,4,Hardest,Book,Kafka on the Shore,,X
314,1,Easy,TV,Power Rangers,,
314,2,Medium,Book,Watership Down,,
314,3,Hard,Book,The Three Musketeers,,
314,4,Hardest,Book,1984,,
315,1,Easy,TV,He-Man and the Masters of the Universe,He-Man,X
315,2,Medium,Book,Animal Farm,,
315,3,Hard,Book,Cyrano de Bergerac,,
315,4,Hardest,Book,The Wind-Up Bird Chronicle,,X
316,1,Easy,TV,My Little Pony: Friendship Is Magic,My Little Pony,X
316,2,Medium,Book,Brave New World,,
316,3,Hard,Book,The Phantom of the Opera,,
316,4,Hardest,Book,Snow Country,,X
317,1,Easy,TV,Care Bears,,X
317,2,Medium,Book,Fahrenheit 451,,
317,3,Hard,Movie,Suspicion,,X
317,4,Hardest,Book,The Sound of the Mountain,,X
318,1,Easy,Movie,Barbie,,
318,2,Medium,Book,Lord of the Flies,,X
318,3,Hard,Movie,Spellbound,,X
318,4,Hardest,Book,The Makioka Sisters,,
319,1,Easy,TV,Pokémon,Pokemon,
319,2,Medium,Book,Of Mice and Men,,
319,3,Hard,Movie,Foreign Correspondent,,X
319,4,Hardest,Book,Confessions of a Mask,,X
320,1,Easy,TV,Digimon,,X
320,2,Medium,Book,The Grapes of Wrath,,
320,3,Hard,Movie,Saboteur,,X
320,4,Hardest,Book,The Sailor Who Fell from Grace with the Sea,,X
321,1,Easy,TV,Yu-Gi-Oh!,Yu-Gi-Oh,X
321,2,Medium,Book,Catch-22,,
321,3,Hard,Movie,Lifeboat,,X
321,4,Hardest,Book,Dream of the Red Chamber,,X
322,1,Easy,TV,Dragon Ball Z,Dragon Ball,X
322,2,Medium,Book,Slaughterhouse-Five,,X
322,3,Hard,Movie,The Trouble with Harry,,X
322,4,Hardest,Book,Journey to the West,,X
323,1,Easy,TV,Naruto,,X
323,2,Medium,Book,The Catcher in the Rye,,
323,3,Hard,Movie,Frenzy,,X
323,4,Hardest,Book,Romance of the Three Kingdoms,,X
324,1,Easy,TV,One Piece,,X
324,2,Medium,Book,On the Road,,
324,3,Hard,Movie,Family Plot,,X
324,4,Hardest,Book,Water Margin,,X
325,1,Easy,TV,My Hero Academia,,X
325,2,Medium,Book,One Flew Over the Cuckoo's Nest,,
325,3,Hard,Movie,Marnie,,X
325,4,Hardest,Book,To Live,,X
326,1,Easy,Movie,Sonic the Hedgehog,,X
326,2,Medium,Book,A Clockwork Orange,,
326,3,Hard,Movie,Torn Curtain,,X
326,4,Hardest,Book,Red Sorghum,,X
327,1,Easy,Movie,The Super Mario Bros. Movie,Super Mario Bros,X
327,2,Medium,Book,Never Let Me Go,,X
327,3,Hard,Movie,The Rules of the Game,,X
327,4,Hardest,Book,Wild Swans,,X
328,1,Easy,Movie,Detective Pikachu,,X
328,2,Medium,Book,The Kite Runner,,
328,3,Hard,Movie,Children of Paradise,,X
328,4,Hardest,Book,Soul Mountain,,X
329,1,Easy,TV,Love Island,,
329,2,Medium,Book,Life of Pi,,
329,3,Hard,Movie,Umberto D.,Umberto D,X
329,4,Hardest,Book,Train to Pakistan,,X
330,1,Easy,TV,Big Brother,,
330,2,Medium,Book,The Book Thief,,X
330,3,Hard,Movie,Rocco and His Brothers,,X
330,4,Hardest,Book,The Guide,,X
331,1,Easy,TV,Survivor,,
331,2,Medium,Book,The Curious Incident of the Dog in the Night-Time,,X
331,3,Hard,Movie,The Leopard,,X
331,4,Hardest,Book,Malgudi Days,,X
332,1,Easy,TV,The Voice,,
332,2,Medium,Book,The Perks of Being a Wallflower,,
332,3,Hard,Movie,Death in Venice,,
332,4,Hardest,Book,Season of Migration to the North,,X
333,1,Easy,TV,American Idol,,X
333,2,Medium,Book,Looking for Alaska,,X
333,3,Hard,Movie,Blow-Up,,X
333,4,Hardest,Book,The Cairo Trilogy,,X
334,1,Easy,TV,RuPaul's Drag Race,,X
334,2,Medium,Book,Paper Towns,,X
334,3,Hard,Movie,The Conformist,,X
334,4,Hardest,Book,Palace Walk,,X
335,1,Easy,TV,Dancing with the Stars,,
335,2,Medium,Book,Percy Jackson and the Sea of Monsters,,X
335,3,Hard,Movie,1900,,X
335,4,Hardest,Book,Men in the Sun,,X
336,1,Easy,TV,Come Dine with Me,,
336,2,Medium,Book,Eragon,,X
336,3,Hard,Movie,Manchester by the Sea,,
336,4,Hardest,Book,A Thousand Splendid Suns,,X
337,1,Easy,TV,First Dates,,X
337,2,Medium,Book,Artemis Fowl,,X
337,3,Hard,Movie,Call Me by Your Name,,X
337,4,Hardest,Book,Reading Lolita in Tehran,,X
338,1,Easy,TV,The Apprentice,,
338,2,Medium,Book,A Series of Unfortunate Events,,X
338,3,Hard,Movie,Lady Bird,,X
338,4,Hardest,Movie,Norma,,X
339,1,Easy,TV,Dragons' Den,,
339,2,Medium,Book,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Lion, the Witch and the Wardrobe;Narnia",
339,3,Hard,Movie,"Three Billboards Outside Ebbing, Missouri",Three Billboards,
339,4,Hardest,Movie,Falstaff,,X
340,1,Easy,TV,Shark Tank,,X
340,2,Medium,Book,Prince Caspian,,
340,3,Hard,Movie,BlacKkKlansman,,X
340,4,Hardest,Movie,Nabucco,,X
341,1,Easy,Book,Diary of a Wimpy Kid,,
341,2,Medium,Book,The Golden Compass,Northern Lights,
341,3,Hard,Movie,Nomadland,,
341,4,Hardest,Movie,Il Trovatore,,
342,1,Easy,Book,Captain Underpants,,
342,2,Medium,Book,Stardust,,X
342,3,Hard,Movie,Sound of Metal,,X
342,4,Hardest,Movie,Cavalleria Rusticana,,X
343,1,Easy,Book,The Magic Faraway Tree,,X
343,2,Medium,Book,American Gods,,X
343,3,Hard,Movie,Minari,,X
343,4,Hardest,Movie,Pagliacci,,
344,1,Easy,Book,Horrid Henry,,
344,2,Medium,Book,Good Omens,,
344,3,Hard,Movie,CODA,,X
344,4,Hardest,Movie,Fidelio,,X
345,1,Easy,Book,Mr. Men,,X
345,2,Medium,Book,The Graveyard Book,,X
345,3,Hard,Movie,The Power of the Dog,,X
345,4,Hardest,Movie,Lohengrin,,X
346,1,Easy,Book,The Famous Five,,
346,2,Medium,Book,His Dark Materials,,
346,3,Hard,Movie,Belfast,,
346,4,Hardest,Movie,Tannhäuser,Tannhauser,X
347,1,Easy,Book,The Secret Seven,,
347,2,Medium,Book,The Wheel of Time,,X
347,3,Hard,Movie,Drive My Car,,X
347,4,Hardest,Movie,Tristan und Isolde,,X
348,1,Easy,Book,Malory Towers,,X
348,2,Medium,Book,Mistborn,,X
348,3,Hard,Movie,Tár,Tar,X
348,4,Hardest,Movie,La Sylphide,,X
349,1,Easy,Book,The Worst Witch,,X
349,2,Medium,Book,The Name of the Wind,,X
349,3,Hard,Movie,Everything Everywhere All at Once,,
349,4,Hardest,Movie,Petrushka,,X
350,1,Easy,Book,Goosebumps,,X
350,2,Medium,Book,A Song of Ice and Fire,,X
350,3,Hard,Movie,The Whale,,X
350,4,Hardest,Movie,The Rite of Spring,,X
351,1,Easy,Movie,Alvin and the Chipmunks,,
351,2,Medium,Book,The Silmarillion,,X
351,3,Hard,Movie,Women Talking,,X
351,4,Hardest,Movie,The Firebird,,X
352,1,Easy,Movie,Paddington,,
352,2,Medium,Book,The Fellowship of the Ring,,X
352,3,Hard,Movie,Past Lives,,X
352,4,Hardest,Book,Hunger,,X
353,1,Easy,Movie,Paddington 2,,X
353,2,Medium,Book,The Two Towers,,
353,3,Hard,Movie,Anatomy of a Fall,,X
353,4,Hardest,Book,Growth of the Soil,,X
354,1,Easy,Movie,Wonka,,
354,2,Medium,Book,The Return of the King,,
354,3,Hard,Movie,The Zone of Interest,,X
354,4,Hardest,Book,Kristin Lavransdatter,,X
355,1,Easy,Movie,Enchanted,,
355,2,Medium,TV,The Americans,,X
355,3,Hard,Movie,Poor Things,,X
355,4,Hardest,Book,The Ice Palace,,X
356,1,Easy,Movie,Maleficent,,
356,2,Medium,TV,Better Things,,X
356,3,Hard,Movie,American Fiction,,X
356,4,Hardest,Book,Smilla's Sense of Snow,,X
357,1,Easy,Movie,Cruella,,
357,2,Medium,TV,Atlanta,,X
357,3,Hard,Movie,Oppenheimer,,
357,4,Hardest,Book,Independent People,,X
358,1,Easy,Movie,Jungle Cruise,,X
358,2,Medium,TV,Barry,,X
358,3,Hard,Movie,Killers of the Flower Moon,,
358,4,Hardest,Book,The Good Soldier Švejk,The Good Soldier Svejk,X
359,1,Easy,Movie,Pete's Dragon,,
359,2,Medium,TV,Ted Lasso,,
359,3,Hard,Movie,Terms of Endearment,,
359,4,Hardest,Book,Too Loud a Solitude,,X
360,1,Easy,Movie,Christopher Robin,,
360,2,Medium,TV,Yellowstone,,
360,3,Hard,Movie,Steel Magnolias,,
360,4,Hardest,Book,I Served the King of England,,X
361,1,Easy,Movie,Dolittle,,
361,2,Medium,TV,1883,,X
361,3,Hard,Movie,Beaches,,X
361,4,Hardest,Book,The Golden Ass,,X
362,1,Easy,Movie,Jingle All the Way,,X
362,2,Medium,TV,1923,,X
362,3,Hard,Movie,The Prince of Tides,,
362,4,Hardest,Book,Satyricon,,X
363,1,Easy,Movie,The Santa Clause,,
363,2,Medium,TV,The Last of Us,,X
363,3,Hard,Movie,Fried Green Tomatoes,,
363,4,Hardest,Book,The Grass Is Singing,,X
364,1,Easy,Movie,Arthur Christmas,,X
364,2,Medium,TV,Shogun,,
364,3,Hard,Movie,Doubt,,X
364,4,Hardest,Book,The Radetzky March,,X
365,1,Easy,Movie,Klaus,,
365,2,Medium,TV,The White Lotus,,
365,3,Hard,Movie,August: Osage County,,X
365,4,Hardest,Book,Job: The Story of a Simple Man,Job,X
366,1,Easy,Movie,Fred Claus,,X
366,2,Medium,TV,Euphoria,,X
366,3,Hard,Movie,Nebraska,,X
366,4,Hardest,Book,The Emigrants,,X
367,1,Easy,Movie,Jumanji: Welcome to the Jungle,,X
367,2,Medium,TV,Industry,,
367,3,Hard,Movie,The Descendants,,
367,4,Hardest,Book,Austerlitz,,X
368,1,Easy,Movie,School of Rock,,
368,2,Medium,Movie,Jerry Maguire,,
368,3,Hard,Book,A Passage to India,,
368,4,Hardest,Book,The Rings of Saturn,,X
369,1,Easy,Movie,Ella Enchanted,,X
369,2,Medium,Movie,As Good as It Gets,,X
369,3,Hard,Book,Howards End,,
369,4,Hardest,Book,Berlin Alexanderplatz,,X
370,1,Easy,Movie,Nanny McPhee,,
370,2,Medium,Movie,When Harry Met Sally...,When Harry Met Sally,
370,3,Hard,Book,A Room with a View,,
370,4,Hardest,TV,Heimat,,X
371,1,Easy,Movie,Stuart Little,,
371,2,Medium,Movie,Sleepless in Seattle,,
371,3,Hard,Book,Where Angels Fear to Tread,,
371,4,Hardest,Movie,The Best of Youth,,X
372,1,Easy,Movie,Because of Winn-Dixie,,X
372,2,Medium,Movie,You've Got Mail,,
372,3,Hard,Movie,Reds,,
372,4,Hardest,Movie,Scenes from a Marriage,,X
373,1,Easy,Movie,Flipper,,
373,2,Medium,Movie,My Best Friend's Wedding,,
373,3,Hard,Movie,Gandhi,,
373,4,Hardest,Movie,Fanny and Alexander,,X
374,1,Easy,Movie,Free Willy,,
374,2,Medium,Movie,The Proposal,,
374,3,Hard,Movie,Chariots of Fire,,
374,4,Hardest,Movie,The Mirror,,X
375,1,Easy,Movie,Homeward Bound: The Incredible Journey,Homeward Bound,X
375,2,Medium,Movie,"Crazy, Stupid, Love.",Crazy Stupid Love,
375,3,Hard,Movie,The Killing Fields,,
375,4,Hardest,Movie,Andrei Rublev,,X
376,1,Easy,Movie,Beethoven,,
376,2,Medium,Movie,The Holiday,,
376,3,Hard,Movie,Places in the Heart,,X
376,4,Hardest,Movie,Ivan's Childhood,,X
377,1,Easy,Movie,Air Bud,,X
377,2,Medium,Movie,Sweet Home Alabama,,
377,3,Hard,Movie,Tender Mercies,,X
377,4,Hardest,Movie,Nostalghia,,X
378,1,Easy,Movie,Lassie,,
378,2,Medium,Movie,How to Lose a Guy in 10 Days,,X
378,3,Hard,Movie,The Trip to Bountiful,,X
378,4,Hardest,Movie,The Sacrifice,,X
379,1,Easy,Movie,Babe,,
379,2,Medium,Movie,13 Going on 30,,X
379,3,Hard,Movie,Driving Miss Daisy,,
379,4,Hardest,Movie,Last Year at Marienbad,,X
380,1,Easy,Movie,Chicken Little,,
380,2,Medium,Movie,Failure to Launch,,X
380,3,Hard,Movie,Dances with Wolves,,
380,4,Hardest,Movie,Hiroshima Mon Amour,,X
381,1,Easy,Movie,The Wild,,X
381,2,Medium,Movie,Just Go with It,,X
381,3,Hard,Movie,Crash,,X
381,4,Hardest,Movie,La Jetée,La Jetee,X
382,1,Easy,Movie,Open Season,,X
382,2,Medium,Movie,Two Weeks Notice,,X
382,3,Hard,Movie,Birdman,,
382,4,Hardest,Movie,Weekend,,X
383,1,Easy,Movie,Surf's Up,,X
383,2,Medium,Movie,We Were Soldiers,,X
383,3,Hard,Movie,Out of the Past,,X
383,4,Hardest,Movie,Pierrot le Fou,,X
384,1,Easy,Movie,Happy Feet,,
384,2,Medium,Movie,Flags of Our Fathers,,X
384,3,Hard,Movie,Detour,,X
384,4,Hardest,Movie,Vivre Sa Vie,,X
385,1,Easy,Movie,Barnyard,,
385,2,Medium,Movie,Letters from Iwo Jima,,
385,3,Hard,Movie,The Killers,,X
385,4,Hardest,Movie,Contempt,,X
386,1,Easy,Movie,Over the Hedge,,
386,2,Medium,Movie,The Hurt Locker,,
386,3,Hard,Movie,Gun Crazy,,X
386,4,Hardest,Movie,Band of Outsiders,,X
387,1,Easy,Movie,Shrek Forever After,,X
387,2,Medium,Movie,Lone Survivor,,X
387,3,Hard,Movie,The Big Combo,,X
387,4,Hardest,Movie,Cries and Whispers,,X
388,1,Easy,Movie,Shrek the Third,,X
388,2,Medium,Movie,13 Hours,,X
388,3,Hard,Movie,Kiss Me Deadly,,X
388,4,Hardest,Movie,Autumn Sonata,,X
389,1,Easy,Movie,Puss in Boots: The Last Wish,,X
389,2,Medium,Movie,Midway,,X
389,3,Hard,Movie,In a Lonely Place,,X
389,4,Hardest,Movie,Through a Glass Darkly,,X
390,1,Easy,Movie,Trolls World Tour,,X
390,2,Medium,Movie,Fury,,
390,3,Hard,Movie,The Postman Always Rings Twice,,
390,4,Hardest,Movie,Winter Light,,X
391,1,Easy,Movie,Trolls Band Together,,X
391,2,Medium,Movie,Enemy at the Gates,,X
391,3,Hard,Movie,Body Heat,,X
391,4,Hardest,Movie,The Silence,,X
392,1,Easy,Movie,Uncharted,,X
392,2,Medium,Movie,The Monuments Men,,
392,3,Hard,Movie,Gosford Park,,
392,4,Hardest,Movie,Saraband,,X
393,1,Easy,Movie,Tomb Raider,,
393,2,Medium,Movie,Edge of Tomorrow,,
393,3,Hard,Movie,Brideshead Revisited,,
393,4,Hardest,Book,The Death of Ivan Ilyich,,X
394,1,Easy,Movie,Mortal Kombat,,
394,2,Medium,Movie,Oblivion,,
394,3,Hard,Movie,Tinker Tailor Soldier Spy,,
394,4,Hardest,Book,Resurrection,,X
395,1,Easy,Movie,Resident Evil,,X
395,2,Medium,Movie,Elysium,,X
395,3,Hard,Movie,The Constant Gardener,,X
395,4,Hardest,Book,"Childhood, Boyhood, Youth",,X
396,1,Easy,Movie,Five Nights at Freddy's,,X
396,2,Medium,Movie,District 9,,X
396,3,Hard,Movie,A Bridge Too Far,,
396,4,Hardest,Book,Poor Folk,,X
397,1,Easy,Movie,A Minecraft Movie,,X
397,2,Medium,Movie,Chappie,,X
397,3,Hard,Movie,Patton,,X
397,4,Hardest,Book,The Double,,X
398,1,Easy,TV,Home Improvement,,
398,2,Medium,Movie,"I, Robot",I Robot,X
398,3,Hard,Movie,MacArthur,,X
398,4,Hardest,Book,White Nights,,X
399,1,Easy,TV,8 Simple Rules,,
399,2,Medium,Movie,I Am Legend,,
399,3,Hard,Movie,Tora! Tora! Tora!,,X
399,4,Hardest,Book,Oresteia,,X
400,1,Easy,TV,George Lopez,,X
400,2,Medium,Movie,Passengers,,X
400,3,Hard,Movie,The Longest Day,,
400,4,Hardest,Book,Agamemnon,,X
